Name	ID	Category	Year	Rank	Published	Ratings	Owned	Sessions	Total	Digital	Incomplete	Missing	Meaningful	Solo	2P	3P	4P	5P	6P	7P	8P	9+P
Carcassonne	822	Family	2000	179	2-5	100927	147879	317603	373821.000	0.055	0.107	0.722	104060.000	0.000	0.515	0.237	0.178	0.071	0.000	0.000	0.000	0.000
Terra Mystica	120677	Strategy	2012	16	2-5	38956	42395	107745	106838.000	0.081	0.337	0.673	34918.000	0.000	0.260	0.261	0.321	0.158	0.000	0.000	0.000	0.000
7 Wonders	68448	Family	2010	59	2-7	83670	111489	337891	391829.000	0.058	0.078	0.698	118295.000	0.000	0.046	0.249	0.291	0.190	0.135	0.088	0.000	0.000
Seasons	108745	Strategy	2012	210	2-4	20645	24319	62909	63217.000	0.110	0.306	0.701	18928.000	0.000	0.605	0.226	0.168	0.000	0.000	0.000	0.000	0.000
Race for the Galaxy	28143	Strategy	2007	57	2-4	46115	55831	338428	438296.000	0.077	0.085	0.780	96333.000	0.000	0.724	0.176	0.100	0.000	0.000	0.000	0.000	0.000
Stone Age	34635	Family	2008	110	2-4	44650	47397	144177	143602.000	0.101	0.329	0.751	35790.000	0.000	0.360	0.304	0.336	0.000	0.000	0.000	0.000	0.000
Puerto Rico	3076	Strategy	2002	27	3-5	62804	73090	127886	145899.000	0.043	0.213	0.848	22185.000	0.000	0.000	0.364	0.399	0.238	0.000	0.000	0.000	0.000
Hanabi	98778	Family	2010	390	2-5	38584	63194	151408	189052.000	0.053	0.231	0.694	57813.000	0.000	0.340	0.271	0.263	0.125	0.000	0.000	0.000	0.000
Dice Forge	194594	Family	2017	333	2-4	14569	22037	52385	49830.000	0.122	0.068	0.450	27393.000	0.000	0.347	0.297	0.355	0.000	0.000	0.000	0.000	0.000
Can't Stop	41	Family	1980	735	2-4	13095	11733	118425	105298.000	0.274	0.118	0.754	25927.000	0.000	0.495	0.298	0.207	0.000	0.000	0.000	0.000	0.000
Roll for the Galaxy	132531	Strategy	2014	94	2-5	26155	31936	112516	119754.000	0.062	0.168	0.597	48254.000	0.000	0.451	0.242	0.187	0.120	0.000	0.000	0.000	0.000
Yahtzee	2243	Family	1956	20029	2-10	11717	20413	31543	36203.000	0.164	0.127	0.678	11673.000	0.000	0.611	0.227	0.114	0.033	0.011	0.003	0.002	0.000
