from  to  text
8/31/00 12/31/00  SdJ: Torres
8/31/01	12/31/01	SdJ: Carcassonne + Troia + Lord of the Rings
8/31/02	12/31/02	SdJ: Villa Paletti
8/31/03	12/31/03	SdJ: Alhambra
8/31/04	12/31/04	SdJ: Ticket to Ride + Attika
8/31/05	12/31/05	SdJ: Niagara
8/31/06	12/31/06	SdJ: Thurn and Taxies + Caylus + Shadows over Camelot
8/31/07	12/31/07	SdJ: Zooloreto
8/31/08	12/31/08	SdJ: Keltis + Agricola
8/31/09	12/31/09	SdJ: Dominion + Space Alert + Gift Trap
8/31/10	12/31/10	SdJ: Dixit + World Without End
8/31/11	12/31/11	SdJ: Qwirkle + 7 Wonders
8/31/12	12/31/12	SdJ: Kingdom Builder + Village
8/31/13	12/31/13	SdJ: Hanabi + Legends of Andor
8/31/14	12/31/14	SdJ: Camel Up + Istanbul
8/31/15	12/31/15	SdJ: Colt Express + Broom Service
8/31/16	12/31/16	SdJ: Codenames + Isle of Skye
8/31/17	12/31/17	SdJ: Kingdomino + Exit
8/31/18	12/31/18	SdJ: Azul + The Quacks of Quedlinburg + Pandemic Legacy, Season 2
8/31/19	12/31/19	SdJ: Just One + Wingspan
